,index,Col1,Col2,Col3,Col4,Col5,mc1,mc2,mc3,mc4,mc5,m11,m12,m13,m14,m15
60,60,-0.042990438640117645,-0.034729503095149994,-0.02297659963369369,-0.00515091884881258,-1.3124663666985725e-07,-0.04318298399448395,-0.034851644188165665,-0.02270579431205988,-0.004423125297762453,-1.2607145549736742e-07,-0.042990438640117645,-0.034729503095149994,-0.022434988990426064,-0.003695331746712327,-1.2089627432487762e-07
61,61,-0.04437108337879181,-0.03584805876016617,-0.0237957164645195,-0.006289673037827015,-1.1656472764798309e-07,-0.04368076100945473,-0.03528878092765808,-0.023386158049106598,-0.005720295943319797,-1.2390568215892017e-07,-0.042990438640117645,-0.034729503095149994,-0.02297659963369369,-0.00515091884881258,-1.1656472764798309e-07
62,62,-0.0494246669113636,-0.040025830268859856,-0.02696688286960125,-0.007443435490131377,-1.5276660292329325e-07,-0.046897875145077705,-0.037936944514513016,-0.025381299667060375,-0.006866554263979195,-1.3466566528563817e-07,-0.04437108337879181,-0.03584805876016617,-0.0237957164645195,-0.006289673037827015,-1.1656472764798309e-07
63,63,-0.0503006987273693,-0.041708212345838554,-0.029650919139385223,-0.010833613574504852,-1.653584149607923e-07,-0.049862682819366455,-0.040867021307349205,-0.028308901004493237,-0.009138524532318113,-1.5906250894204277e-07,-0.0494246669113636,-0.040025830268859856,-0.02696688286960125,-0.007443435490131377,-1.5276660292329325e-07
64,64,-0.0480223186314106,-0.03884128853678703,-0.02655193582177162,-0.007778509985655545,-1.331967780515697e-07,-0.049161508679389954,-0.04027475044131279,-0.028101427480578423,-0.009306061780080198,-1.49277596506181e-07,-0.0480223186314106,-0.03884128853678703,-0.02655193582177162,-0.007778509985655545,-1.331967780515697e-07
65,65,-0.04240437597036362,-0.0345417782664299,-0.02404628694057465,-0.00672871433198452,-8.550291141773414e-08,-0.04521334730088711,-0.03669153340160847,-0.025299111381173134,-0.007253612158820031,-1.0934984473465192e-07,-0.04240437597036362,-0.0345417782664299,-0.02404628694057465,-0.00672871433198452,-8.550291141773414e-08
66,66,-0.042071331292390816,-0.03412050381302833,-0.02250161580741405,-0.004219292663037777,-5.959874371797014e-08,-0.04223785363137722,-0.03433114103972912,-0.02327395137399435,-0.005474003497511147,-7.255082756785214e-08,-0.042071331292390816,-0.03412050381302833,-0.02250161580741405,-0.004219292663037777,-5.959874371797014e-08
67,67,-0.04970021173357964,-0.041421737521886826,-0.02905320934951305,-0.009255732409656048,3.948754923044362e-08,-0.04588577151298523,-0.03777112066745758,-0.02577741257846355,-0.006737512536346911,-1.0055597243763259e-08,-0.042071331292390816,-0.03412050381302833,-0.02250161580741405,-0.004219292663037777,3.948754923044362e-08
68,68,-0.03914543986320496,-0.0312926210463047,-0.019635571166872975,-0.0021148303057998414,1.3512604368770552e-08,-0.0444228257983923,-0.036357179284095764,-0.024344390258193013,-0.005685281357727943,2.6500076799607086e-08,-0.03914543986320496,-0.0312926210463047,-0.019635571166872975,-0.0021148303057998414,3.948754923044362e-08
69,69,-0.03235545754432678,-0.024871498346328732,-0.01346615795046091,0.003458569059148431,1.5488925697582087e-08,-0.03575044870376587,-0.02808205969631672,-0.016550864558666945,0.0006718693766742964,1.4500765033176318e-08,-0.03235545754432678,-0.024871498346328732,-0.01346615795046091,0.003458569059148431,1.5488925697582087e-08
